日期,主题,标的,方向,原文定位,关键催化,参考材料,当前位置判断,交易表达,风险点,交易提示,下次复盘日期,备注
2026-04-02,人民币石油结算,中油资本,金融/能源结算,"霍尔木兹收费和人民币结算映射标的","控股昆仑银行；伊朗石油人民币结算；人民币国际化","年报；昆仑银行业务；政策文件；制裁豁免；业务收入","短期事件弹性较强",提示机会；观察催化,"主题兑现快；业务贡献不明；政策不确定",提示机会，观察事件催化,,
2026-04-02,人民币石油结算,昆仑银行,能源贸易结算银行,"中油资本控股银行，市场映射伊朗石油人民币结算","中伊石油结算；霍尔木兹收费；跨境结算","银行年报；监管披露；商务部/央行口径；制裁合规","不适用",提示机会；观察催化,"公开信息有限；合规风险；利润贡献不明",提示机会，观察事件催化,,
2026-04-02,LNG转售/能源贸易,中国LNG转售,能源贸易,"Reuters/Kpler称中国3月转售8-10船LNG，今年19船","俄罗斯LNG低价采购；亚洲转售；能源价格套利","Reuters；Kpler；海关；船运；天然气价格","不适用",低位多看逻辑,"数据口径变化；价格回落；转售不可持续",低位关注产业逻辑和基本面,,
2026-04-03,商业航天,天龙三号,商业火箭,"首飞入轨失败，对商业航天情绪和千帆发星量有冲击","一级故障；归零复盘；后续密集发射","官方通报；发射复盘；千帆计划；保险和订单","不适用",提示机会；观察催化,"后续发射延期；情绪退潮；技术迭代不确定",提示机会，观察事件催化,,
2026-04-03,商业航天,蓝箭航天,商业火箭/IPO,"IPO中止被解释为财务资料过期，不等于终止","财务资料九个月有效期；补充25年年报","北交所项目动态；公司公告；补材料进度","不适用",提示机会；观察催化,"恢复审核不确定；商业火箭情绪波动",提示机会，观察事件催化,,
2026-04-07,宏观/霍尔木兹,霍尔木兹通航,航运/能源价格,"伊朗与阿曼起草通航协议，可能缓和油价风险","通航协议；海峡收费；制裁谈判；油价回落","权威媒体；航运数据；原油价格；官方声明","不适用",低位多看逻辑,"协议落空；冲突升级；油价再冲高",低位关注产业逻辑和基本面,,
2026-04-08,宏观/停火修复,A股科技成长,风险偏好修复,"美伊停火两周后，原油回落带动科技成长估值修复","停火谈判；霍尔木兹通航；油价回落；成长股超跌","权威媒体；原油价格；成交量；科技成长指数；基金仓位","不适用",趋势破位走；止盈止损,"停火反复；局部交火；油价再冲高；修复行情过快透支",条件式退出或利润保护,,
2026-04-08,人民币石油结算,中油资本,金融/能源结算,"中油资本叙事强化为人民币结算体系反脆弱锚点，但停火后出现分歧","霍尔木兹收费；昆仑银行；CIPS；伊朗能源结算","年报；昆仑银行业务披露；央行/商务部口径；CIPS参与信息；制裁合规文件","短期高换手事件载体",提示机会；观察催化,"美国参与海峡管理削弱人民币结算；业务贡献不明；高位回撤；政策不确定",提示机会，观察事件催化,,
2026-04-08,AIDC/算力租赁,利通电子,算力租赁/Token分成,"算力租赁云服务涨价贯穿全年，可能从裸算力租赁升级到Token分成","Agent带动Token消耗；万卡集群；大厂长约；租赁涨价","公告；财报；客户合同；租赁价格；利用率；Token分成合同","已有涨幅，需看业绩兑现",高位多看图；趋势保持留,"Token分成未落地；折旧和融资压力；估值提前反映；趋势破位",趋势未破时跟踪量价,,
2026-04-08,AIDC/算力租赁,宏景科技,算力租赁/Token分成,"算力租赁龙头线索，原文强调授信和交付能力","万卡集群交付；新增授信；算力涨价；渠道多元化","公告；授信公告；客户合同；服务器到货；收入确认","已有涨幅，需看业绩兑现",高位多看图；趋势保持留,"授信不等于订单；交付延期；GPU来源合规；高位回撤",趋势未破时跟踪量价,,
2026-04-08,AIDC/算力租赁,协创数据,算力租赁,"算力租赁高弹性标的，受外媒和量化扰动影响","非合规服务器消息扰动；渠道多元化；大厂成本传导","公告；财报；客户合同；服务器来源；监管风险提示","高波动，需看公告验证",提示机会；观察催化,"合规风险；渠道不确定；主题退潮；高位回撤",提示机会，观察事件催化,,
2026-04-08,AIDC/算力租赁,盈峰环境,算力租赁,"算力租赁核心标的之一，受行业景气和商业模式升级映射","算力紧缺；租赁涨价；Token分成预期","公告；业务占比；客户合同；算力收入；利润率","待补充",低位多看逻辑,"主业关联度弱；业务真实性；估值波动",低位关注产业逻辑和基本面,,
2026-04-08,AIDC/阿里系,数据港,AIDC,"Happy Horse模型被确认来自阿里后，阿里系AIDC映射走强","阿里模型；阿里云CAPEX；AIDC需求","阿里订单；机柜利用率；项目投产；财报收入","待补充",提示机会；观察催化,"模型热度波动；客户集中；订单不及预期",提示机会，观察事件催化,,
2026-04-08,AIDC/阿里系,润建股份,AIDC/Token工厂,"Happy Horse与阿里链条带动AIDC和Token工厂情绪","阿里模型；Token消耗；算力服务分成","公告；客户合同；Token工厂收入；项目备案","已有独立跟踪",高位多看图；趋势保持留,"分成模式未验证；估值提前反映；项目进度",趋势未破时跟踪量价,,
2026-04-08,昇腾链/连接器,华丰科技,高速线模组/连接器,"昇腾链核心，背板连接器和IO连接器确定性强于电源环节","950/960超节点；高速线模组；连接器份额","公告；客户认证；订单；价值量；份额","高位需看趋势量价",高位多看图；趋势保持留,"份额不及预期；新供应商切入；估值提前反映",趋势未破时跟踪量价,,
2026-04-08,昇腾链/电源,泰嘉股份,电源代工,"原文认为昇腾电源确定性弱于连接器，偏短期弹性","昇腾电源代工；欧陆通竞争；主业拖累","公告；客户认证；电源订单；收入占比；毛利率","偏概念弹性",提示机会；观察催化,"低价值代工；格局分散；主业拖累；主题退潮",提示机会，观察事件催化,,
2026-04-08,后道测试通胀,伟测科技,第三方测试,"用户反馈持有伟测，原文继续强调业绩预告确定性与测试通胀","Rubin量产；国内先进制程放量；测试需求提升","业绩预告；财报；稼动率；测试价格；客户结构","高位需看趋势量价",高位多看图；趋势保持留,"估值提前反映；客户集中；测试价格不及预期",趋势未破时跟踪量价,,
2026-04-08,光模块/光芯片设备,科瑞技术,CPO耦合设备/自动化设备,"专家会新增CPO耦合设备期权，第三方自动化设备渗透率提升","CPO技术更迭；光模块扩产；耦合设备需求","公告；订单；客户认证；设备收入占比；机构调研","已有涨幅，需看订单兑现",高位多看图；趋势保持留,"订单未落地；业务相关度不足；涨幅透支；趋势破位",趋势未破时跟踪量价,,
2026-04-09,光芯片供需,源杰科技/永鼎股份/东山精密等,EML/CW光芯片,"Lumentum需求强劲，国内光芯片导入和抱团行情强化","海外CSP需求；2028产能预订口径；CW/EML紧缺","海外龙头指引；公司公告；客户认证；订单；产能","多标的高位趋势",高位多看图；趋势保持留,"高位回撤；客户导入不及预期；价格和产能变化",趋势未破时跟踪量价,,
2026-04-09,硅光Fab/代工,卓胜微,射频Fab/硅光代工,"硅光代工叙事继续强化，但正式订单可能在明后年","SOI/SiGe；Fab稀缺；Tower映射；光芯片代工想象","公告；工艺平台资料；客户验证；硅光订单；收入分项","低位逻辑变化后需验证",低位多看逻辑,"硅光订单遥远；主业受消费电子和存储涨价影响；概念映射过度",低位关注产业逻辑和基本面,,
2026-04-09,韩国光伏/储能,正泰电源,逆变器/储能,"韩国可再生能源倍增计划强化正泰电源韩国和海外光储逻辑","韩国100GW可再生能源目标；韩国逆变器份额；美国工商储","韩国政策；公司出货；区域收入；美国订单；大储项目","待补充",提示机会；观察催化,"能源避险资金回流科技；份额和订单不及预期；政策执行慢",提示机会，观察事件催化,,
2026-04-09,先进封装/HBM,骄成超声,3D超声扫描/先进封装设备,"外媒称长鑫12层HBM进展，关注封装贴合与混合键合设备","长鑫HBM；先进封装；两存扩产；设备招标","权威媒体；招投标；客户验证；订单；收入确认","待补充",低位多看逻辑,"外媒口径不实；订单延期；收入体量不明",低位关注产业逻辑和基本面,,
2026-04-09,先进封装/HBM,拓荆科技,混合键合/先进封装设备,"长鑫HBM线索强化混合键合和先进封装设备关注","HBM；混合键合；封装贴合；国产设备导入","公告；招投标；客户验证；产品收入；订单","待补充",低位多看逻辑,"客户验证周期；订单预期过高；估值波动",低位关注产业逻辑和基本面,,
2026-04-09,光伏设备管制,奥特维/微导纳米/捷佳伟创等,光伏设备,"传光伏设备出口或参会指导，部分公司反馈不一","出口管制；政策指导；海外设备订单","官方政策；公司公告；投资者关系；订单交付；出口数据","事件扰动",提示机会；观察催化,"传闻不实；政策范围不清；板块情绪冲击",提示机会，观察事件催化,,
2026-04-09,半导体设备概念辨析,新莱应材,厂务设备/真空零部件/液冷CDU,"原文认为更偏新凯来概念映射，基本面跟踪优先级低于纯正设备链","半导体厂务；真空零部件；液冷CDU送样","公告；收入分项；客户订单；液冷产品进展","偏概念映射",低位多看逻辑,"主业拖累；业务占比低；机构关注度不足；主题退潮",低位关注产业逻辑和基本面,,
2026-05-25,AI Agent商业化/企业ROI,OpenAI/Anthropic/企业AI软件,AI Agent/企业订阅/生产流程,"原文认为AI Agent落地和Anthropic收入增长削弱泡沫论，但企业仍面临高采用低转化","ARR增长；企业ROI；Agent进入生产流程；中后台流程重构","公司披露；权威媒体；MIT NANDA/McKinsey/Gartner报告；客户案例；续费率和ARPU","海外AI估值较高，需看收入兑现",高位多看图；趋势保持留,"ROI不及预期；推理成本高；客户续费不足；估值提前反映；监管和就业反弹",趋势未破时跟踪量价,2026-06-15,"MIT NANDA口径可作为高采用低转化佐证，但具体ARR和ROI仍需权威披露"
2026-05-25,AI技术性失业,Amazon/Meta/Oracle/HSBC/Standard Chartered,企业裁员/中后台替代,"原文列举多家科技和金融企业因AI效率提升而裁员，认为形成股价正反馈","AI替代白领岗位；中后台降本；管理层AI投入；利润率改善","公司公告；监管文件；Reuters/AP/CNBC；财报电话会；岗位类别统计","不适用",低位多看逻辑,"裁员数字可能混杂周期性降本；AI归因可能被夸大；社会反弹和监管风险",低位关注产业逻辑和基本面,2026-06-15,"Amazon和Meta部分裁员报道可核验，但原文具体比例和Oracle/银行口径需逐项查证"
2026-05-25,AI泡沫/市场节奏,美股AI科技股/AI IPO,估值/流动性/IPO,"原文认为AI行情进入鱼尾或右肩阶段，后续大额AI IPO和流动性收紧可能成为泡沫破裂信号","大额AI IPO；利率上行；信用违约；高估值并购；科技股集中度","IPO招股书；SEC/交易所文件；信用利差；美债利率；ETF资金流；主流财经媒体","高位看趋势量价和流动性",高位多看图；趋势保持留,"估值提前反映；流动性收紧；IPO抽水；趋势破位；美股回撤传导",趋势未破时跟踪量价,2026-06-15,"作为市场风险框架跟踪，不直接等同于泡沫即将破裂"
2026-05-25,长鑫存储IPO,长鑫存储/存储链/半导体设备材料链,存储/IPO/国产替代,"原文称长鑫存储已过会并可能在2026年6月下旬或7月初上市","IPO发行窗口；募投项目；存储扩产；设备材料订单；市场流动性影响","交易所审核动态；招股书；发行公告；供应商公告；权威媒体","IPO前后注意科技链情绪和抽水影响",提示机会；观察催化,"发行节奏不确定；流动性抽水；存储链预期透支；高位回撤",提示机会，观察事件催化,2026-06-10,"需以交易所和正式发行公告为准"
2026-05-25,UBI/再分配政策,OpenResearch/UBI政策,收入分配/就业缓冲,"原文称OpenAI等机构试点UBI已宣告失败，但公开研究结果更适合表述为效果有限且存在争议","无条件现金转移实验；就业工时；消费；财务缓冲；政策可持续性","OpenResearch；NBER论文；政策评估；权威媒体","不适用",提示机会；观察催化,"政策效果不能简单外推；样本和地区限制；财政约束",提示机会，观察事件催化,2026-07-01,"避免把UBI试验简化为单一成败结论"
2026-05-25,Seedance 2.0 Token工厂,润建股份/五象云谷,Token工厂/模型服务,"原文称五象云谷与字节系模型合作引入Seedance 2.0并对外输出Token服务","Seedance 2.0；字节合作；Token服务；分成机制；电话会发酵","公司公告；公司公众号；电话会纪要；客户侧资料；模型API价格表；财报收入确认","高位需看公告和收入确认",高位多看图；趋势保持留,"合作未正式披露；分成口径不明；收入确认不清；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-05,"若验证则从算租升级为Token工厂商业模式；目前仍需官方材料确认"
2026-05-25,北美算力租赁涨价,利通电子/协创数据/润泽科技/宏景科技/盈峰环境,算力租赁/Token分成,"原文称SpaceX S-1、Anthropic大客户和Nebius官网共同验证北美高端算力租赁涨价","海外高端算力涨价；大模型议价权；国内算租订单；Token分成","SpaceX招股书；Nebius官网价格；客户合同；公司公告；财报毛利率；利用率","高位趋势仍在但需防拥挤",高位多看图；趋势保持留,"海外价格口径不一致；国内传导不确定；折旧融资压力；高位回撤",趋势未破时跟踪量价,2026-06-10,"区分海外高端卡短中期逻辑和国产AIDC中长期逻辑"
2026-05-25,光通信/半导体光学,茂莱光学,光刻光学/OCS/FSO/3DIC检测,"调研称公司光通信与半导体订单充足，询价转让用于支持产能建设，核心矛盾为产能不足","询价转让；产能建设；北美客户；OCS；FSO；3DIC检测；Onto订单","公告；投资者关系记录；客户订单；产能项目备案；收入分项；毛利率","高位筹码扰动后看趋势修复",高位多看图；趋势保持留,"协议转让折价扰动；客户传闻；产能释放不及预期；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-10,"公开可验证询价转让和产能瓶颈表述，非公开客户和CAPEX口径待验证"
2026-05-25,真空镀膜/光刻设备,汇成真空,光刻镜头镀膜/光器件镀膜,"调研称光刻镜头镀膜订单增长、宇量昇订单、FNS批量订单和OCS客户Demo推进","光刻镀膜；光器件镀膜；宇量昇；FNS；OCS Demo；富士康订单","公司公告；合同订单；客户验证；验收记录；招投标；调研纪要","已有涨幅需看订单确收",高位多看图；趋势保持留,"客户传闻；订单未公告；验收和收入确认慢；趋势破位",趋势未破时跟踪量价,2026-06-15,"方向可由公司设备能力部分支撑，具体客户订单仍待验证"
2026-05-25,昇腾液冷IO连接器,意华股份,液冷cage/高速IO连接器,"原文称公司互动易官宣液冷cage研发，机构了解到客户为华为昇腾且26H2放量","液冷cage；昇腾950；IO连接器；单价提升；北美光伏支架修复","互动易；公司公告；客户认证；订单；产品规格；投资者关系记录","相对低估但需验证客户和份额",低位多看逻辑,"客户未披露；份额不确定；光伏主业拖累；估值波动；趋势破位",低位关注产业逻辑和基本面,2026-06-20,"需区分背板连接器和风冷/液冷IO连接器"
2026-05-25,工业相机/光模块设备,埃科光电,工业相机/半导体量检测/光模块设备,"原文称工业相机主业稳，半导体量检测和光模块设备客户带来26-27年放量预期","工业相机国产替代；半导体量检测；光模块贴片耦合AOI；科瑞/奥特维/博众","公司公告；客户认证；订单；收入分项；调研纪要；股权激励","新晋预期差，需看订单兑现",低位多看逻辑,"客户传闻；收入测算激进；新品拓展不及预期；估值波动",低位关注产业逻辑和基本面,2026-06-20,"新增光模块设备铲子股线索"
2026-05-25,半导体检测光学,福光股份,工业视觉光学/DUV光学部件,"股东大会转述强调半导体检测镜头已量产并储备成熟制程DUV光学部件国产替代","亚微米显微镜头；双远心镜头；线扫镜头；DUV光学部件；产线扩产","公司公告；股东大会资料；投资者关系记录；收入分项；客户认证","待补充",低位多看逻辑,"股东大会转述待核；业务占比不明；研发进度不及预期",低位关注产业逻辑和基本面,2026-06-30,"需用正式会议资料和财报确认"
2026-05-25,先进封装低位补涨,百傲化学/芯慧联,混合键合设备参股/资产注入,"原文称公司参股混合键合设备龙头芯慧联10%并有资产注入预期，但存在立案和ST风险","混合键合；芯慧联；设备再制造；资产注入；立案调查","公司公告；监管处罚结果；工商信息；芯慧联经营数据；资产注入公告","低位反弹窗口但风险高",趋势破位走；止盈止损,"立案处罚；ST风险；资产注入不确定；业务质量不明",条件式退出或利润保护,2026-07-31,"先按风险事件跟踪，不做确定性设备链处理"
2026-05-25,DeepSeek API降价,DeepSeek/国产算力链,模型API/推理算力,"原文认为永久降价本质利好底层国产算力需求扩张，推动Token消费普及","API降价；Token调用量；推理算力需求；国产算力供需放量","DeepSeek官方价格表；云厂调用数据；模型服务收入；算力采购；国产卡交付","不适用",低位多看逻辑,"降价压缩模型服务收入；调用量弹性不及预期；算力采购传导慢",低位关注产业逻辑和基本面,2026-06-15,"价格调整可核验，需求传导仍需后续数据"
2026-05-25,存储扩产CAPEX,长存/长鑫/存储设备材料链,存储扩产/设备材料,"原文称存储涨价下半场是扩产，长鑫框架总包和长存四五期扩产加速","存储涨价；长鑫框架总包；长存四五期；设备订单；材料耗材","项目备案；招投标；设备厂订单；财报；合同负债；晶圆厂CAPEX","高位半导体设备需看兑现",高位多看图；趋势保持留,"订单传闻；扩产节奏；高位拥挤；存储价格回落",趋势未破时跟踪量价,2026-06-20,"作为半导体设备材料链的景气验证项"
2026-05-26,CMP抛光液公告验证,鼎龙股份,CMP抛光液/半导体材料平台,"公告披露HKMG氧化铝抛光液获头部晶圆厂优秀供应商奖、铜阻挡层抛光液获新客户批量订单、SiC衬底抛光液批量订单","头部晶圆厂奖项；铜阻挡层新客户订单；SiC衬底抛光液；自研研磨粒子；全品类布局","公司公告；财报收入分项；客户验证；订单持续性；毛利率；产能利用率","公告验证增强但股价和估值可能已反映部分预期",高位多看图；趋势保持留,"订单金额未披露；客户集中；材料导入周期；收入确认不及预期；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-30,"2026-05-25公告可验证产品进展，后续看抛光液收入和利润弹性"
2026-05-26,韬定律/逻辑折叠,先进制程设备材料链,先进制程/先进封装/前道设备材料,"圈内认为韬定律不会削弱先进制程和光刻机价值，反而强化国产先进制程扩产和设备材料耗材需求","华为发布韬定律；逻辑折叠；时间缩微；先进封装；N+1/N+2/N+3；非EUV等效先进制程叙事","华为论文；麒麟芯片发布；晶圆厂CAPEX；光刻机正式披露；设备材料订单；招投标；公司公告","短期偏事件催化，中长期需订单和扩产验证",高位多看图；趋势保持留,"技术叙事过度外推；会议无新增披露；订单验证滞后；高位拥挤；估值提前反映",趋势未破时跟踪量价,2026-06-15,"官方可验证韬定律发布，但对光刻机、CMP和材料用量拉动仍属待验证推演"
2026-05-28,光模块设备,科瑞技术,光器件/光模块自动化设备,"圈内称光器件对接海外客户进展超预期，MOB和MPC打开第二成长曲线","光模块扩产；CPO/OCS；耦合/AOI/共晶设备；海外客户导入","公司公告；投资者关系记录；客户认证；订单；设备收入占比；MOB/MPC产品定义","已有较大涨幅，需高位趋势量价确认",高位多看图；趋势保持留,"客户传闻；订单未公告；业务占比不清；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-20,"公开资料可部分验证光模块设备布局，海外客户和MOB/MPC仍待核验"
2026-05-28,液冷CAGE,鼎通科技,高速连接器/液冷CAGE,"圈内称液冷CAGE开始放量，高份额预期带动市值上行","224G产品；液冷CAGE；海外客户认证；产能扩张","可转债募投；投资者关系记录；客户认证；订单；出货；单价；毛利率","新高后需看趋势量价和订单兑现",高位多看图；趋势保持留,"份额不确定；客户审厂不等于订单；产能爬坡；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-30,"液冷CAGE产能建设可部分验证，27/28年利润测算不作为事实"
2026-05-28,液冷CAGE,奕东电子,光模块CAGE/液冷结构件,"圈内称海外大厂审厂、海外连接器客户月内送样，6月可能部分出货，年内液冷CAGE放量","光模块CAGE订单饱满；马来西亚工厂；液冷业务；海外连接器客户","投资者关系记录；马来西亚工厂投产；客户订单；出货；收入分项；毛利率","低于鼎通的补涨逻辑已被交易，需看出货兑现",高位多看图；趋势保持留,"审厂和送样不等于批量订单；产能释放不及预期；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-30,"公开资料验证CAGE订单饱满和马来西亚工厂中期投产，具体6月出货仍待验证"
2026-05-28,液冷IO连接器,意华股份,昇腾液冷CAGE/高速连接器,"圈内称国产液冷CAGE华为链此前空缺，意华切入后刚刚放量","昇腾液冷IO；国产CAGE；华为链；连接器价值量提升","互动易；公司公告；客户认证；订单；收入分项；产品规格","高位需结合昇腾链核心走势",低位多看逻辑,"客户未披露；份额不确定；国内利润率低；估值提前反映；趋势破位",低位关注产业逻辑和基本面,2026-06-30,"承接5月25日意华液冷CAGE线索，新增与鼎通/奕东对比"
2026-05-28,先进逻辑/硅光,燕东微,晶圆代工/硅光/资产重估,"圈内称北京永芯体外先进制程和韬定律催化带来小盘先进制程晶圆代工弹性","韬定律；逻辑折叠；北京永芯；资产注入预期；硅光平台","上市公司公告；项目备案；环评能评；设备招标；资产关系；资本运作公告","短期加速后需严格按趋势量价处理",高位多看图；趋势保持留,"北京永芯不在体内；资产注入时间不确定；缺乏短期业绩支撑；高位回撤；趋势破位",趋势未破时跟踪量价,2026-06-20,"公司硅光和12英寸平台可部分验证，北京永芯资产注入仍是高不确定叙事"
2026-05-28,PCIe/CXL高速互联,万通发展/数渡科技,PCIe Switch/AI服务器互联,"圈内称数渡科技PCIe 5.0 Switch稀缺量产，国产超节点GPU互联进口替代","104通道PCIe 5.0量产；144通道投片；股权激励收入目标；PCIe 6.0/CXL在研","公司公告；股权激励计划；客户认证；订单；收入确认；合同负债；毛利率","新高后需看收入兑现和客户导入",高位多看图；趋势保持留,"市场空间测算偏假设；客户替代不确定；研发和量产进度；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-30,"股权激励目标和产品路线可部分验证，原位替代博通和收入弹性需验证"
2026-05-28,热管理/华为散热,飞荣达,消费电子/服务器液冷散热,"圈内称华为逻辑折叠和3D堆叠提升散热需求，飞荣达作为核心散热供应商受益","韬定律；逻辑折叠；主动散热；微泵液冷；风扇；服务器液冷","公司公告；投资者关系记录；客户订单；产品量产；收入分项；毛利率","二阶扩散线索，需防短线追高",提示机会；观察催化,"华为具体订单未披露；二阶推演过度；消费电子节奏不确定；估值提前反映；趋势破位",提示机会，观察事件催化,2026-06-30,"公开资料验证热管理产品矩阵，具体机型和华为订单仍待验证"
2026-05-28,Rubin探针/测试耗材,和林微纳/强一股份,FT探针/测试耗材,"圈内称Vera Rubin无延期，量产后将加剧全球探针紧缺，国内企业凭产能进入供应链","NVIDIA Rubin下半年供货；AI芯片测试时长提升；探针供需紧缺","NVIDIA官方；工业富联投资者关系；客户认证；订单；交期；探针收入；海外可比公司","回调后仍需看订单和趋势修复",低位多看逻辑,"Rubin节奏传导不确定；客户认证不透明；高位波动；业绩兑现慢",低位关注产业逻辑和基本面,2026-06-20,"Rubin官方节奏可验证，探针紧缺和国内供应链导入需公司订单验证"
2026-05-28,靶材/先进制程材料,江丰电子/欧莱新材,半导体靶材/面板靶材,"圈内称稀土出口管制和DUV多重曝光推升靶材涨价及用量，先进制程升级带来耗材倍增","地缘管制；海外扩产受限；先进制程扩产；DUV多重曝光；逻辑折叠","财报；客户订单；价格数据；行业报告；出口管制文件；毛利率","材料主线加速后需看价格和财报兑现",低位多看逻辑,"涨价幅度待核；不同靶材品类差异大；价格传导不及预期；估值提前反映",低位关注产业逻辑和基本面,2026-06-30,"圈内具体涨价百分比和7nm用量倍数暂未核验，保留为重点验证项"
2026-05-28,字节AIDC CAPEX,大位科技,AIDC/字节链,"外媒称字节或将2026年资本开支上调至5000亿元级别，圈内强调大位作为字节AIDC核心供应商和张北榕泰180MW AIDC受益","字节CAPEX上调；张北榕泰180MW；内蒙古600MW规划；液冷技术；绿电成本","主流媒体后续报道；公司公告；项目备案；能评环评；客户合同；上架率；财报收入分项","已有涨幅后需看订单和上架率兑现",高位多看图；趋势保持留,"CAPEX报道非官方公告；客户绑定不透明；项目扩容和能耗指标不确定；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-15,"承接5月10日大位科技线索，新增字节2026 CAPEX上调和180MW AIDC口径"
2026-05-28,Token工厂/字节合作,润建股份,Token工厂,"圈内将润建定位为Token工厂字节合作落地第一股，强调相对东方国信标签更清晰和稀缺","字节合作；Seedance/五象云谷；Token服务；分成机制；收入确认","公司公告；投资者关系记录；公众号原文；客户侧资料；API价格表；财报收入确认","高位需看公告和收入确认，不能只看概念标签",高位多看图；趋势保持留,"合作未正式披露；分成和毛利率口径不明；调用量波动；卡源和折旧风险；趋势破位",趋势未破时跟踪量价,2026-06-15,"延续润建Token工厂高优先级验证，新增与东方国信的标签辨析"
2026-05-28,AIDC/Token工厂辨析,东方国信,AIDC/算力租赁/Token工厂,"圈内称东方国信主要还是AIDC，有少量算力租赁和新上Token工厂业务，概念多但字节标签不如大位纯","和林格尔AIDC；算力租赁锁价长协；Token工厂新业务；卖方调研更新","公司公告；交易所互动；投资者关系记录；卖方调研；客户合同；财报收入分项","分歧标的，等待业务口径澄清",低位多看逻辑,"业务边界不清；客户绑定未确认；Token业务体量小；概念叠加导致预期混乱；趋势破位",低位关注产业逻辑和基本面,2026-06-20,"下月卖方调研若更新在手业务需专项复盘"
2026-05-28,海外TaaS映射,AWS Bedrock/Anthropic/Token工厂链,AI云服务/Token分成,"圈内称亚马逊Bedrock/Anthropic安排在2026Q1约55% EBIT利润率，TaaS利润率厚于传统IaaS但需求风险更高","固定IaaS费用；收入分成；超量绩效门槛；Token调用量；海外云厂模型服务","Amazon财报；SEC文件；AWS公开口径；Anthropic合作披露；权威媒体；券商深度报告","作为商业模式映射，不直接对应A股业绩",低位多看逻辑,"利润率测算未核验；海外模式不一定适用于国内；调用量波动；收入锁定性低",低位关注产业逻辑和基本面,2026-06-30,"新增TaaS映射验证项，等待正式披露或权威研究支持"
2026-05-28,先进封装交易复盘,甬矽电子,先进封装/封测,"成员复盘称2月中旬45元附近买入甬矽电子，3月中旬跌至34元后通过仓位和差价把成本降至31元，继续看先进封装长期逻辑","先进封装景气；HPC封装；国产算力；仓位和差价操作","公司公告；财报；扩产公告；客户订单；先进封装收入；毛利率；产能利用率","交易案例偏方法论，基本面仍需订单和财报验证",趋势破位走；止盈止损,"成员经验不等于公司验证；先进封装订单不及预期；高波动；仓位失控风险",条件式退出或利润保护,2026-06-30,"记录交易方法论：长期逻辑定仓位，短期逻辑定操作"
2026-05-29,TaaS/Token工厂,润建股份/五象云谷/火山引擎,Token工厂/模型服务,"圈内称2026-05-30火山引擎Skylark 2.0将部署到五象云谷并对外提供Token服务，标志国内首个闭源大厂模型Token工厂落地","火山引擎模型部署；五象云谷；Token计费；分成机制；视频多模态；新客户突破","公司公告；火山引擎官网；投资者关系记录；客户合同；模型API价格表；财报收入确认","高位逻辑变化后需等官方确认和收入兑现",高位多看图；趋势保持留,"上线日期和模型名称未核验；合作主体未披露；单价下降；调用量不及预期；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-06-10,"公开层面尚未确认Skylark或Seedance部署五象云谷，继续承接Seedance 2.0验证项"
2026-05-29,海外TaaS映射,AWS Bedrock/Anthropic,AI云服务/Token计费,"圈内称亚马逊依靠Claude Token和TaaS模式实现AWS利润率上行，海外商业模式从0到1兑现","AWS利润率；Bedrock token增长；Anthropic合作；Trainium和Graviton自研芯片","Amazon财报；AWS产品数据；SEC文件；Anthropic合作披露；权威媒体","海外样本可部分验证但细分利润率仍待验证",低位多看逻辑,"55% EBIT测算未获官方确认；海外模式不可直接映射国内；需求风险由AWS承担",低位关注产业逻辑和基本面,2026-06-30,"Amazon官方验证AWS 2026Q1利润率37.7%和Bedrock token增长，未验证55% EBIT"
2026-05-29,MLCC结构性涨价,三环集团/风华高科/昀冢科技/利和兴,MLCC/高容国产替代,"圈内MLCC调研称AI服务器拉动高容需求，日韩转产造成中低容挤出，国内厂商承接外溢需求","高容涨价；Rubin平台；日韩转产；国产高容；中低容交期拉长","TrendForce；财联社；公司公告；客户认证；价格和交期；财报毛利率","高热度后需防追高，等待价格和业绩验证",高位多看图；趋势保持留,"AI占比有限；国产未进海外核心供应链；渠道库存和囤货；扩产后价格回落；趋势破位",趋势未破时跟踪量价,2026-06-30,"MLCC涨价方向可部分验证，圈内颗数和占比数据需继续核验"
2026-05-29,MLCC上游材料,洁美科技/博迁新材/国瓷材料,离型膜/镍粉/陶瓷粉,"圈内将洁美科技此前逻辑扩展到MLCC上游材料，认为海外高端MLCC需求和国产扩产带动材料放量","离型膜；纳米镍粉；高端瓷粉；海外客户；国产扩产","公司公告；客户订单；涨价函；收入分项；毛利率","相对原厂更偏上游卖铲验证",低位多看逻辑,"客户和订单不透明；涨价传导慢；材料国产替代难度；估值提前反映",低位关注产业逻辑和基本面,2026-06-30,"新增MLCC上游材料跟踪，与洁美既有光刻机链逻辑区分"
